Gene 1,Gene 2,cv,train
Apcs,Col11a2,0.625,0.75
Apcs,Pkm,0.6875,0.8125
Apcs,Retnlg,0.625,0.75
Apcs,Hsp90ab1,0.6875,0.8125
Apcs,Igfbp3,0.875,0.8125
Apcs,Iglc3,0.8125,0.6875
Apcs,Actr3,0.5625,0.6875
Apcs,Ighg1,0.75,0.8125
Apcs,Sema4b,0.6875,0.6875
Apcs,Sbsn,0.5625,0.625
Apcs,Efemp2,0.625,0.6875
Apcs,Ca1,0.625,0.6875
Apcs,Selenop,0.6875,0.75
Apcs,C1qa,0.5625,0.6875
Apcs,Serpina10,0.6875,0.6875
Apcs,Ptgds,0.6875,0.75
Apcs,Lcp1,0.5625,0.6875
Apcs,Serpina1a,0.75,0.75
Apcs,Gnptg,0.625,0.8125
Apcs,Hspa8,0.625,0.75
Apcs,Gpx1,0.6875,0.8125
Apcs,Icoslg,0.6875,0.6875
Apcs,Serpina3n,0.5625,0.6875
Apcs,Ctsb,0.625,0.6875
Apcs,Pon3,0.6875,0.75
Apcs,Ighv1-62-3,0.5625,0.8125
Apcs,Cat,0.75,0.75
Apcs,Ca2,0.625,0.75
Apcs,Ppia,0.8125,0.8125
Apcs,C4b,0.375,0.6875
Apcs,Vcl,0.625,0.625
Apcs,Cd5l,0.625,0.75
Apcs,Pla2g7,0.875,0.6875
Apcs,Orm2,0.625,0.75
Apcs,Hamp,0.625,0.8125
Apcs,C2,0.6875,0.75
Apcs,Ckm,0.6875,0.625
Apcs,Eef1a1,0.6875,0.75
Apcs,Umod,0.8125,0.8125
Apcs,Pgk1,0.5625,0.75
Apcs,Prdx2,0.625,0.6875
Apcs,Qsox1,0.5625,0.8125
Apcs,Orm1,0.6875,0.8125
Apcs,Cpq,0.875,0.9375
Apcs,Adh1,0.8125,0.8125
Apcs,Apoh,0.5,0.75
Apcs,Ldha,0.75,0.75
Apcs,Cd44,0.625,0.75
Apcs,Nrp1,0.5625,0.6875
Apcs,Itih3,0.5,0.75
Apcs,Eno1,0.75,0.75
Apcs,Met,0.625,0.625
Apcs,Aldoa,0.6875,0.8125
Apcs,C1qb,0.5625,0.75
F7,Serpinf1,0.625,0.8125
F7,Ighv3-6,0.6875,0.75
F7,Ctsd,0.6875,0.875
F7,Psmb9,0.75,0.9375
F7,Actb,0.6875,0.75
F7,Fbln5,0.75,0.8125
F7,Heg1,0.625,0.75
F7,F2,0.9375,1.0
F7,Igfals,0.625,0.75
F7,Mcam,0.875,0.875
F7,Clu,0.6875,0.75
F7,Slc3a2,0.625,0.8125
F7,Saa1,0.75,0.8125
F7,Sord,0.625,0.8125
F7,Dnpep,0.625,0.8125
F7,Hp,0.6875,0.8125
F7,Apof,0.625,0.875
F7,B2m,0.75,0.8125
F7,Angptl3,0.75,0.75
F7,Amy1,0.8125,0.8125
F7,Apoc3,0.8125,0.875
F7,Lrp1,0.6875,0.8125
F7,Aldob,0.8125,0.8125
F7,Pcyox1,0.75,0.8125
F7,Ttr,0.75,0.8125
F7,Apoa4,0.6875,0.75
F7,Plg,0.75,0.8125
F7,Postn,0.6875,0.8125
F7,Hspa4,0.75,0.8125
F7,Saa4,0.5,0.75
F7,Igkv9-120,0.75,0.8125
F7,Itgam,0.75,0.8125
F7,Ctss,0.6875,0.875
F7,Mbl2,0.6875,0.75
F7,Lgals3bp,0.875,0.8125
F7,Tfpi,0.75,0.8125
F7,Ces1c,0.6875,0.6875
F7,Apoc4,0.625,0.75
F7,Timp3,0.8125,0.8125
F7,Psap,0.8125,0.8125
F7,Arf3,0.75,0.75
F7,F9,0.6875,0.75
F7,Ighm,0.5625,0.8125
F7,Col11a2,0.6875,0.9375
F7,Pkm,0.75,0.8125
F7,Retnlg,0.625,0.75
F7,Hsp90ab1,0.6875,0.8125
F7,Igfbp3,0.6875,0.8125
F7,Iglc3,0.6875,0.8125
F7,Actr3,0.6875,0.8125
F7,Ighg1,0.75,0.875
F7,Sema4b,0.75,0.8125
F7,Sbsn,0.625,0.8125
F7,Efemp2,0.6875,0.8125
F7,Ca1,0.6875,0.8125
F7,Selenop,0.75,0.875
F7,C1qa,0.625,0.8125
F7,Serpina10,0.8125,0.8125
F7,Ptgds,0.6875,0.8125
F7,Lcp1,0.75,0.8125
F7,Serpina1a,0.6875,0.75
F7,Gnptg,0.75,0.875
F7,Hspa8,0.8125,0.8125
F7,Gpx1,0.6875,0.8125
F7,Icoslg,0.75,0.8125
F7,Serpina3n,0.5625,0.75
F7,Ctsb,0.75,0.8125
F7,Pon3,0.625,0.875
F7,Ighv1-62-3,0.875,0.9375
F7,Cat,0.6875,0.6875
F7,Ca2,0.75,0.875
F7,Ppia,0.6875,0.8125
F7,C4b,0.75,0.75
F7,Vcl,0.75,0.8125
F7,Cd5l,0.6875,0.8125
F7,Pla2g7,0.75,0.875
F7,Orm2,0.5625,0.8125
F7,Hamp,0.75,0.875
F7,C2,0.6875,0.75
F7,Ckm,0.75,0.8125
F7,Eef1a1,0.625,0.8125
F7,Umod,0.8125,0.875
F7,Pgk1,0.6875,0.8125
F7,Prdx2,0.6875,0.8125
F7,Qsox1,0.6875,0.8125
F7,Orm1,0.6875,0.8125
F7,Cpq,0.875,1.0
F7,Adh1,0.5625,0.75
F7,Apoh,0.6875,0.8125
F7,Ldha,0.6875,0.8125
F7,Cd44,0.75,0.8125
F7,Nrp1,0.5625,0.8125
F7,Itih3,0.75,0.8125
F7,Eno1,0.75,0.8125
F7,Met,0.75,0.8125
F7,Aldoa,0.75,0.8125
F7,C1qb,0.75,0.875
Serpinf1,Ighv3-6,0.75,0.875
Serpinf1,Ctsd,0.6875,1.0
Serpinf1,Psmb9,0.6875,0.8125
Serpinf1,Actb,0.5625,0.75
Serpinf1,Fbln5,0.6875,0.875
Serpinf1,Heg1,0.75,0.75
Serpinf1,F2,0.9375,0.9375
Serpinf1,Igfals,0.5625,0.75
Serpinf1,Mcam,0.8125,0.875
Serpinf1,Clu,0.5625,0.6875
Serpinf1,Slc3a2,0.75,0.75
Serpinf1,Saa1,0.625,0.75
Serpinf1,Sord,0.5625,0.8125
Serpinf1,Dnpep,0.625,0.75
Serpinf1,Hp,0.6875,0.75
Serpinf1,Apof,0.625,0.75
Serpinf1,B2m,0.9375,1.0
Serpinf1,Angptl3,0.75,0.8125
Serpinf1,Amy1,0.625,0.6875
Serpinf1,Apoc3,0.75,0.75
Serpinf1,Lrp1,0.5625,0.75
Serpinf1,Aldob,0.5625,0.75
Serpinf1,Pcyox1,0.5,0.8125
Serpinf1,Ttr,0.75,0.875
Serpinf1,Apoa4,0.6875,0.75
Serpinf1,Plg,0.6875,0.9375
Serpinf1,Postn,0.75,0.75
Serpinf1,Hspa4,0.75,0.75
Serpinf1,Saa4,0.5625,0.8125
Serpinf1,Igkv9-120,0.6875,0.875
Serpinf1,Itgam,0.5625,0.8125
Serpinf1,Ctss,0.75,0.75
Serpinf1,Mbl2,0.6875,0.875
Serpinf1,Lgals3bp,0.75,0.8125
Serpinf1,Tfpi,0.625,0.8125
Serpinf1,Ces1c,0.5,0.75
Serpinf1,Apoc4,0.625,0.75
Serpinf1,Timp3,0.75,0.8125
Serpinf1,Psap,0.75,0.8125
Serpinf1,Arf3,0.6875,0.75
Serpinf1,F9,0.75,0.8125
Serpinf1,Ighm,0.5,0.8125
Serpinf1,Col11a2,0.75,0.875
Serpinf1,Pkm,0.6875,0.75
Serpinf1,Retnlg,0.625,0.75
Serpinf1,Hsp90ab1,0.625,0.875
Serpinf1,Igfbp3,0.5,0.75
Serpinf1,Iglc3,0.5625,0.75
Serpinf1,Actr3,0.625,0.75
Serpinf1,Ighg1,0.75,0.8125
Serpinf1,Sema4b,0.625,0.8125
Serpinf1,Sbsn,0.625,0.75
Serpinf1,Efemp2,0.875,0.75
Serpinf1,Ca1,0.625,0.75
Serpinf1,Selenop,0.6875,0.8125
Serpinf1,C1qa,0.6875,0.75
Serpinf1,Serpina10,0.6875,0.75
Serpinf1,Ptgds,0.6875,0.75
Serpinf1,Lcp1,0.625,0.75
Serpinf1,Serpina1a,0.6875,0.75
Serpinf1,Gnptg,0.75,0.75
Serpinf1,Hspa8,0.5625,0.75
Serpinf1,Gpx1,0.625,0.75
Serpinf1,Icoslg,0.6875,0.6875
Serpinf1,Serpina3n,0.5625,0.6875
Serpinf1,Ctsb,0.6875,0.8125
Serpinf1,Pon3,0.625,0.75
Serpinf1,Ighv1-62-3,0.625,0.8125
Serpinf1,Cat,0.625,0.75
Serpinf1,Ca2,0.75,0.75
Serpinf1,Ppia,0.6875,0.8125
Serpinf1,C4b,0.5625,0.75
Serpinf1,Vcl,0.75,0.8125
Serpinf1,Cd5l,0.5625,0.8125
Serpinf1,Pla2g7,0.6875,0.75
Serpinf1,Orm2,0.6875,0.8125
Serpinf1,Hamp,0.625,0.875
Serpinf1,C2,0.625,0.6875
Serpinf1,Ckm,0.75,0.875
Serpinf1,Eef1a1,0.625,0.75
Serpinf1,Umod,0.5625,0.75
Serpinf1,Pgk1,0.625,0.8125
Serpinf1,Prdx2,0.6875,0.75
Serpinf1,Qsox1,0.5625,0.75
Serpinf1,Orm1,0.6875,0.75
Serpinf1,Cpq,0.75,0.9375
Serpinf1,Adh1,0.5,0.8125
Serpinf1,Apoh,0.75,0.8125
Serpinf1,Ldha,0.6875,0.75
Serpinf1,Cd44,0.6875,0.75
Serpinf1,Nrp1,0.6875,0.75
Serpinf1,Itih3,0.625,0.8125
Serpinf1,Eno1,0.75,0.875
Serpinf1,Met,0.8125,0.875
Serpinf1,Aldoa,0.75,0.75
Serpinf1,C1qb,0.6875,0.75
Ighv3-6,Ctsd,0.6875,0.75
Ighv3-6,Psmb9,0.6875,0.875
Ighv3-6,Actb,0.625,0.75
Ighv3-6,Fbln5,0.6875,0.8125
Ighv3-6,Heg1,0.375,0.625
Ighv3-6,F2,0.625,0.6875
Ighv3-6,Igfals,0.5625,0.6875
Ighv3-6,Mcam,0.5,0.625
Ighv3-6,Clu,0.5625,0.6875
Ighv3-6,Slc3a2,0.4375,0.75
Ighv3-6,Saa1,0.4375,0.625
Ighv3-6,Sord,0.5625,0.625
Ighv3-6,Dnpep,0.5,0.625
Ighv3-6,Hp,0.5625,0.75
Ighv3-6,Apof,0.75,0.75
Ighv3-6,B2m,0.75,0.75
Ighv3-6,Angptl3,0.625,0.75
Ighv3-6,Amy1,0.5625,0.6875
Ighv3-6,Apoc3,0.6875,0.6875
Ighv3-6,Lrp1,0.625,0.625
Ighv3-6,Aldob,0.6875,0.8125
Ighv3-6,Pcyox1,0.5625,0.6875
Ighv3-6,Ttr,0.4375,0.5625
Ighv3-6,Apoa4,0.6875,0.6875
Ighv3-6,Plg,0.8125,0.8125
Ighv3-6,Postn,0.4375,0.625
Ighv3-6,Hspa4,0.5625,0.625
Ighv3-6,Saa4,0.4375,0.625
Ighv3-6,Igkv9-120,0.5,0.625
Ighv3-6,Itgam,0.4375,0.6875
Ighv3-6,Ctss,0.625,0.6875
Ighv3-6,Mbl2,0.625,0.75
Ighv3-6,Lgals3bp,0.5,0.625
Ighv3-6,Tfpi,0.625,0.75
Ighv3-6,Ces1c,0.4375,0.625
