Gene 1,Gene 2,cv,train
Ggh,Serpind1,0.6875,0.9375
Ggh,Ces3a,0.75,0.875
Ggh,Igkv9-120,0.8125,0.875
Ggh,Nid1,0.8125,0.9375
Ggh,Pla2g7,0.75,0.875
Ggh,Tln1,0.625,0.9375
Ggh,Adgre5,0.9375,1.0
Ggh,Man2b2,0.8125,1.0
Ggh,Pnliprp1,0.75,1.0
Ggh,Ces2c,0.75,0.875
Ggh,Ighg1,0.75,0.8125
Ggh,Mbl2,0.75,0.9375
Ggh,Flt4,0.75,0.9375
Ggh,Col11a2,0.625,0.875
Ggh,Olfm1,0.75,0.875
Ggh,Itih4,0.8125,1.0
Ggh,Ces2e,0.875,1.0
Ggh,Pdia3,0.6875,0.8125
Ggh,Psma1,0.8125,0.8125
Ggh,Hba,0.8125,0.9375
Ggh,Pgd,0.75,0.9375
Ggh,Antxr1,0.75,0.875
Ggh,Fetub,0.875,1.0
Ggh,Man2a2,0.75,0.875
Ggh,Comp,0.75,0.9375
Ggh,Itga2b,0.875,1.0
Ggh,Ncam1,0.6875,0.8125
Ggh,Prdx2,0.8125,0.9375
Ggh,Fn1,0.6875,0.8125
Ggh,Igfbp4,0.75,0.875
Ggh,Itgb1,0.75,0.9375
Ggh,Tuba1b,0.75,0.875
Ggh,Hbb-b1,0.8125,0.875
Ggh,Itga2,0.75,0.8125
Ggh,Me1,0.75,0.9375
Ggh,Hgfac,0.875,1.0
Ggh,Itih2,0.8125,0.875
Ggh,Neo1,0.6875,0.9375
Ggh,A2m,0.75,0.875
Ggh,Pgam1,0.6875,0.8125
Ggh,P4hb,0.8125,1.0
Ggh,Cd44,0.6875,0.9375
Ggh,Psmb3,0.75,1.0
Ggh,Arhgdia,0.875,0.875
Ggh,Apob,0.6875,0.875
Ggh,Lrrn4,0.625,0.875
Ggh,Ces2a,0.6875,0.875
Ggh,Hp,0.6875,0.875
Ggh,Tfpi,0.8125,0.9375
Ggh,Cela2a,0.625,0.875
Ggh,Asl,0.8125,0.875
Ggh,Apof,0.8125,0.875
Ggh,Bpgm,0.8125,0.9375
Ggh,Dpp4,0.75,0.8125
Ggh,Gpx1,0.75,1.0
Ggh,Cdh17,0.6875,0.8125
Ggh,F2,0.6875,0.875
Ggh,Efemp2,0.75,0.875
Ggh,Erap1,0.6875,0.8125
Ggh,Apoh,0.6875,0.8125
Blmh,Fuca1,0.6875,0.75
Blmh,Spp1,0.5,0.75
Blmh,Adipoq,0.875,0.875
Blmh,Serpina3c,0.6875,0.75
Blmh,Plxdc2,0.8125,0.8125
Blmh,Actr3,0.8125,0.8125
Blmh,Amy1,0.6875,0.75
Blmh,Antxr2,0.75,0.9375
Blmh,Tmsb4x,0.625,0.8125
Blmh,Ces1c,0.75,0.8125
Blmh,Ctsz,0.8125,0.8125
Blmh,Dnpep,0.8125,0.875
Blmh,Amy2,0.6875,0.75
Blmh,Ambp,0.875,0.9375
Blmh,Lbp,0.5625,0.8125
Blmh,Actb,0.6875,0.875
Blmh,Hspa5,0.75,0.875
Blmh,Chga,0.75,0.75
Blmh,Dspp,0.8125,1.0
Blmh,Tagln2,0.8125,0.8125
Blmh,Cfb,0.8125,0.875
Blmh,Ca2,0.8125,0.9375
Blmh,Hrg,0.6875,0.8125
Blmh,Psmb5,0.8125,1.0
Blmh,Nrp1,0.8125,0.875
Blmh,Heg1,0.6875,0.75
Blmh,Cdh13,0.75,0.8125
Blmh,B2m,0.75,0.75
Blmh,Cfd,0.75,0.875
Blmh,Ica,0.5625,0.75
Blmh,Cd248,0.8125,0.8125
Blmh,Selenop,0.6875,0.75
Blmh,Hamp,0.8125,0.75
Blmh,Igfbp6,0.8125,0.8125
Blmh,Ganab,0.75,0.875
Blmh,Itgb2,0.625,0.75
Blmh,Ext2,0.6875,0.8125
Blmh,Serpind1,0.625,0.875
Blmh,Ces3a,0.75,0.9375
Blmh,Igkv9-120,0.75,0.875
Blmh,Nid1,0.625,0.8125
Blmh,Pla2g7,0.8125,0.8125
Blmh,Tln1,0.625,0.8125
Blmh,Adgre5,0.8125,0.8125
Blmh,Man2b2,0.6875,0.8125
Blmh,Pnliprp1,0.6875,0.75
Blmh,Ces2c,0.75,0.8125
Blmh,Ighg1,0.8125,0.8125
Blmh,Mbl2,0.75,0.875
Blmh,Flt4,0.6875,0.75
Blmh,Col11a2,0.5625,0.8125
Blmh,Olfm1,0.8125,0.8125
Blmh,Itih4,0.75,0.8125
Blmh,Ces2e,0.6875,0.6875
Blmh,Pdia3,0.625,0.8125
Blmh,Psma1,0.75,0.8125
Blmh,Hba,0.875,0.875
Blmh,Pgd,0.75,0.875
Blmh,Antxr1,0.5625,0.6875
Blmh,Fetub,0.8125,0.6875
Blmh,Man2a2,0.8125,0.8125
Blmh,Comp,0.75,0.8125
Blmh,Itga2b,0.6875,0.8125
Blmh,Ncam1,0.75,0.8125
Blmh,Prdx2,0.75,0.9375
Blmh,Fn1,0.6875,0.875
Blmh,Igfbp4,0.75,0.75
Blmh,Itgb1,0.6875,0.75
Blmh,Tuba1b,0.75,0.8125
Blmh,Hbb-b1,0.8125,0.875
Blmh,Itga2,0.625,0.75
Blmh,Me1,0.6875,0.8125
Blmh,Hgfac,0.625,0.875
Blmh,Itih2,0.6875,0.875
Blmh,Neo1,0.625,0.6875
Blmh,A2m,0.75,0.8125
Blmh,Pgam1,0.6875,0.75
Blmh,P4hb,0.625,0.8125
Blmh,Cd44,0.75,0.875
Blmh,Psmb3,0.6875,0.8125
Blmh,Arhgdia,0.6875,0.8125
Blmh,Apob,0.75,0.8125
Blmh,Lrrn4,0.6875,0.75
Blmh,Ces2a,0.625,0.8125
Blmh,Hp,0.75,0.75
Blmh,Tfpi,0.625,0.875
Blmh,Cela2a,0.625,0.8125
Blmh,Asl,0.75,0.8125
Blmh,Apof,0.75,0.8125
Blmh,Bpgm,0.8125,0.875
Blmh,Dpp4,0.75,0.875
Blmh,Gpx1,0.625,0.875
Blmh,Cdh17,0.75,0.8125
Blmh,F2,0.75,0.8125
Blmh,Efemp2,0.6875,0.9375
Blmh,Erap1,0.75,0.875
Blmh,Apoh,0.6875,0.75
Fuca1,Spp1,0.6875,0.75
Fuca1,Adipoq,0.6875,0.875
Fuca1,Serpina3c,0.6875,0.6875
Fuca1,Plxdc2,0.8125,0.8125
Fuca1,Actr3,0.625,0.75
Fuca1,Amy1,0.75,0.75
Fuca1,Antxr2,0.75,0.8125
Fuca1,Tmsb4x,0.4375,0.75
Fuca1,Ces1c,0.625,0.75
Fuca1,Ctsz,0.625,0.75
Fuca1,Dnpep,0.75,0.75
Fuca1,Amy2,0.8125,0.75
Fuca1,Ambp,0.5625,0.8125
Fuca1,Lbp,0.5625,0.75
Fuca1,Actb,0.5625,0.75
Fuca1,Hspa5,0.625,0.875
Fuca1,Chga,0.75,0.75
Fuca1,Dspp,0.8125,0.8125
Fuca1,Tagln2,0.75,0.8125
Fuca1,Cfb,0.625,0.6875
Fuca1,Ca2,0.6875,0.6875
Fuca1,Hrg,0.5,0.75
Fuca1,Psmb5,0.6875,0.75
Fuca1,Nrp1,0.6875,0.75
Fuca1,Heg1,0.75,0.75
Fuca1,Cdh13,0.8125,0.8125
