Gene 1,Gene 2,cv,train
Adipoq,Lrrn4,0.8125,0.875
Adipoq,Pon3,0.875,0.875
Adipoq,Itgb2,0.8125,0.9375
Adipoq,Nrp1,0.75,0.9375
Adipoq,Vtn,0.8125,0.875
Adipoq,Cd5l,0.75,0.875
Adipoq,Apoc2,0.875,1.0
Adipoq,Ctsz,0.8125,0.875
Adipoq,Heg1,0.75,0.9375
Adipoq,Apod,0.75,0.875
Adipoq,Actb,0.875,0.9375
Adipoq,Pi16,0.8125,1.0
Adipoq,Hamp,0.8125,0.9375
Adipoq,Psma2,0.75,0.875
Adipoq,Ighg1,0.8125,0.875
Adipoq,Psmb9,0.875,0.9375
Adipoq,Angptl3,0.75,0.875
Adipoq,Hspa5,0.75,0.8125
Adipoq,Mbl1,0.875,0.9375
Adipoq,Met,0.9375,1.0
Adipoq,Serping1,0.8125,0.875
Adipoq,Ctbs,0.75,0.875
Adipoq,Serpinf1,0.875,0.875
Adipoq,Gnptg,0.75,0.875
Adipoq,Pon1,0.875,1.0
Adipoq,Hba,0.8125,0.9375
Adipoq,Icoslg,0.8125,0.875
Adipoq,Hgfac,0.75,0.875
Adipoq,Pla2g7,0.8125,0.9375
Adipoq,Mup20,0.8125,0.875
Adipoq,Olfm1,0.8125,0.875
Adipoq,Psmb4,0.875,0.9375
Adipoq,Ganab,0.875,0.9375
Adipoq,Igfals,0.75,0.875
Adipoq,Serpina1d,0.9375,0.9375
Adipoq,B2m,0.8125,0.9375
Adipoq,Pnliprp1,0.8125,0.875
Adipoq,Capn1,0.6875,0.9375
Adipoq,Fbln1,0.75,0.875
Adipoq,Pfn1,0.75,0.875
Adipoq,Apcs,0.875,0.9375
Adipoq,Psmb1,0.8125,0.875
Adipoq,Mup3,0.8125,0.875
Adipoq,Prdx2,0.875,0.9375
Adipoq,Ckm,0.8125,0.9375
Adipoq,Fcn1,0.875,0.875
Adipoq,Ighg2b,0.75,0.875
Adipoq,Hyou1,0.8125,0.875
Adipoq,Ywhae,0.9375,1.0
Adipoq,Apoa2,0.75,0.8125
Adipoq,Igfbp6,0.8125,0.9375
Adipoq,Ctsl,0.875,0.9375
Adipoq,Cd248,0.8125,0.9375
Adipoq,Ces3a,0.875,1.0
Adipoq,Igkv9-120,0.875,0.9375
Adipoq,Aldoa,0.8125,0.875
Adipoq,Pcolce,0.8125,0.9375
Adipoq,Ghr,0.6875,0.875
Chga,Cd44,0.875,0.875
Chga,Cfb,0.875,1.0
Chga,Ltf,1.0,1.0
Chga,Selenop,1.0,1.0
Chga,Dpp4,0.8125,1.0
Chga,Mbl2,0.8125,0.9375
Chga,Pcyox1,0.75,0.9375
Chga,Cpn2,0.8125,0.9375
Chga,Gm10881,1.0,1.0
Chga,F13b,0.9375,0.9375
Chga,F2,0.875,0.9375
Chga,Ccl8,0.9375,1.0
Chga,Psmb3,0.8125,0.9375
Chga,Hp,0.8125,0.875
Chga,Ighv1-62-3,0.75,0.875
Chga,Spp1,0.8125,1.0
Chga,Ext2,0.9375,1.0
Chga,Mmrn1,0.875,0.9375
Chga,Efemp2,0.875,1.0
Chga,Sod3,0.875,1.0
Chga,Ctsd,0.875,1.0
Chga,Proc,0.875,1.0
Chga,Procr,0.75,0.9375
Chga,Hpx,0.9375,0.9375
Chga,Psmb5,0.875,0.9375
Chga,Loxl1,0.8125,0.9375
Chga,Arpc1b,0.9375,0.9375
Chga,Calr,0.8125,0.9375
Chga,Igfbp3,0.875,0.875
Chga,Adgre5,0.6875,0.875
Chga,Ces1c,0.6875,0.9375
Chga,Sbsn,0.875,0.9375
Chga,Lbp,0.8125,0.9375
Chga,Man2b1,0.8125,1.0
Chga,Pgam1,0.9375,1.0
Chga,Plxdc2,0.875,0.875
Chga,Ctss,0.8125,0.9375
Chga,Psmb2,0.9375,1.0
Chga,Kng1,0.8125,0.9375
Chga,Lrrn4,0.8125,1.0
Chga,Pon3,0.9375,0.9375
Chga,Itgb2,0.8125,0.875
Chga,Nrp1,0.8125,0.9375
Chga,Vtn,0.8125,0.9375
Chga,Cd5l,0.9375,1.0
Chga,Apoc2,0.9375,1.0
Chga,Ctsz,0.8125,1.0
Chga,Heg1,0.875,0.875
Chga,Apod,0.9375,0.9375
Chga,Actb,0.8125,0.9375
Chga,Pi16,0.75,1.0
Chga,Hamp,0.8125,0.9375
Chga,Psma2,0.875,0.9375
Chga,Ighg1,0.875,0.875
Chga,Psmb9,0.875,0.9375
Chga,Angptl3,0.8125,0.9375
Chga,Hspa5,0.75,0.875
Chga,Mbl1,0.9375,1.0
Chga,Met,0.8125,1.0
Chga,Serping1,0.875,0.9375
Chga,Ctbs,0.8125,0.9375
Chga,Serpinf1,0.8125,0.875
Chga,Gnptg,0.8125,0.9375
Chga,Pon1,0.8125,0.9375
Chga,Hba,0.875,1.0
Chga,Icoslg,0.875,0.875
Chga,Hgfac,0.75,0.875
Chga,Pla2g7,0.875,0.875
Chga,Mup20,0.8125,0.9375
Chga,Olfm1,0.875,0.875
Chga,Psmb4,0.875,1.0
Chga,Ganab,0.8125,0.875
Chga,Igfals,0.875,1.0
Chga,Serpina1d,0.8125,0.875
Chga,B2m,0.6875,0.875
Chga,Pnliprp1,0.8125,0.9375
Chga,Capn1,0.75,1.0
Chga,Fbln1,0.75,0.875
Chga,Pfn1,0.8125,1.0
Chga,Apcs,0.75,0.9375
Chga,Psmb1,0.9375,0.9375
Chga,Mup3,0.875,0.9375
Chga,Prdx2,1.0,1.0
Chga,Ckm,0.875,0.875
Chga,Fcn1,0.875,0.875
